목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15119004,교육부,교육부,교육부_하이파이브_직업계고 학점제 정보,"마이스터고 : 공식명칭은 “산업수요 맞춤형 고등학교”. 유망분야의 특화된 산업수요와 연계하여 예비 마이스터를 양성하는 특수목적고로 분류됨 <br/>특성화고 : 소질과 적성 및 능력이 유사한 학생을 대상으로 특정분야의 인재양성을 목적으로 하는 교육 또는 현장실습 등 체험위주의 교육을 전문적으로 실시하는 학교<br/><br/>직업계고 학점제 학교 공간 조성 운영안내서, 직업계고 학점제 안내서, 고등학교 학생평가 안내서 등 정보 제공",376,교육 - 유아및초·중등교육,"운영안내서,우수사례,리플릿"
15119007,교육부,교육부,교육부_하이파이브_안전한 현장실습 자료,"마이스터고 : 공식명칭은 “산업수요 맞춤형 고등학교”. 유망분야의 특화된 산업수요와 연계하여 예비 마이스터를 양성하는 특수목적고로 분류됨 <br/>특성화고 : 소질과 적성 및 능력이 유사한 학생을 대상으로 특정분야의 인재양성을 목적으로 하는 교육 또는 현장실습 등 체험위주의 교육을 전문적으로 실시하는 학교<br/><br/>직업계고 현장실습시 학교, 기업, 학생을 대상으로 매뉴얼 및 강의 자료 제공",494,교육 - 유아및초·중등교육,"직업계고,산업안전,매뉴얼"
15119011,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_실용국어1,"직업기초능력 중 의사소통(국어) 능력 함양을 위한 교수학습 자료<br/>총 10개 주제(성찰, 관심과 흥미, 직업, 배려, 가족의 의미, 가족의 조건, SNS와 의사소통, 예절, 윤리의식, 환경) 30차시 분량<br/>",156,교육 - 유아및초·중등교육,"의사소통,교수학습,직업기초능력"
15119022,교육부,교육부,교육부_하이점프_직업계고 기초학력향상_수학보정학습,"자연수의 사칙 계산, 자연수의 성질, 분수와 소수, 분수의 사칙계산, 소수의 사칙 계산, 정수, 유리수, 순환소수, 제곱근, 무리수, 규칙과 대응, 함수의 뜻, 함수의 뜻, 일차함수, 다항식의 사칙계산 등 보정학습 자료 제공",68,교육 - 유아및초·중등교육,"공간과모양,변화와관계,불확실성"
15119010,교육부,교육부,교육부_교과용도서_수정_보완_통계정보,"학교급 또는 국검인정별, 교과군(교과서, 지도서, 디지털교과서), 교과군(국어, 영어, 수학, 건설, 정보, 농림수산해양, 미용, 기계 등)으로 검색가능<br/>학교급, 교과군, 내용수정(용어, 개념, 설명, 삽화, 사진, 기타), 정정사유(국가사회적요구사항, 자체수정, 민원요청, 의견제안) 데이터의 통계자료 제공<br/>한국교과서연구재단에서 제공",189,교육 - 유아및초·중등교육,"수정보완 년도,도서구분,교과군"
15118987,교육부,교육부,교육부_에듀넷티클리어_주제별 학습자료_과목별,"한국교육학술정보원 운영, 교과학습, 교육정책자료, 수업 및 연구자료, 커뮤니티 제공<br/>주제별, 과목별 학습자료, 사회, 과학, 음악, 미술, 체육, 기술, 가정, 실과, 범교과학습주제로 분류하여 자료제공<br/>",210,교육 - 유아및초·중등교육,"학습주제,과목별,카드뉴스"
15118999,교육부,교육부,교육부_하이파이브_특성화고 학교현황,특성화고 : 소질과 적성 및 능력이 유사한 학생을 대상으로 특정분야의 인재양성을 목적으로 하는 교육 또는 현장실습 등 체험위주의 교육을 전문적으로 실시하는 학교<br/><br/>전국의 특성화고 현황 통계 제공<br/>,4212,교육 - 유아및초·중등교육,"학교명,교육청,특성화고통계"
15119008,교육부,교육부,교육부_하이파이브_직업계고 학교현황,"마이스터고 : 공식명칭은 “산업수요 맞춤형 고등학교”. 유망분야의 특화된 산업수요와 연계하여 예비 마이스터를 양성하는 특수목적고로 분류됨 <br/>특성화고 : 소질과 적성 및 능력이 유사한 학생을 대상으로 특정분야의 인재양성을 목적으로 하는 교육 또는 현장실습 등 체험위주의 교육을 전문적으로 실시하는 학교<br/><br/>학교통계 : 유형-지역, 설립-지역, 유형-설립, 유형-남녀, 설립-남녀 등의 통계 자료 제공<br/><br/>학생통계 : 유형-지역, 설립-지역, 유형-설립 등의 구분하여 통계자료 제공<br/><br/>엑셀다운로드 상세 : 교육청, 학교명, 학교유형, 설립구분, 교장실, 교무실,  행정실, 취업지도실, FAX, 홈페이지, 우편번호, 주소, 학급별 학과수, 학생수, 학과정보, 학과코드 정보 제공",291,교육 - 유아및초·중등교육,"설립구분,학생수,학과정보"
15106331,교육부,교육부,교육부_학교알리미_학교기본정보_학년별학급별 학생수,"학교알리미의 학교기본정보(시도교육청,지역교육청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,학교특성,분교여부,설립유형 등) 및 학년별학급별 학생수(시도교육청,지역교육청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년 학급수,1학년 학생수,1학년 학급당 학생수 등)",3519,교육 - 유아및초·중등교육,"학교정보공시,지원교육청별,학교좌표"
15102661,교육부,교육부,교육부_재외한국학교 교육과정 운영 현황,"재외국민의 교육지원 등에 관한 법률 제8조에 의거하여 재외한국학교의 교육과정은 초·중등교육법 제23조의 규정에 따라 교육부장관이 정하는 교육과정에 준하여 편성하고 있는바, 전 세계 재외한국학교(34개교)에서 운영 중인 교육과정 현황을 제공하고자 합니다.",765,교육 - 유아및초·중등교육,"재외교육기관,재외한국학교,교육과정"
