목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
3039487,교육부,교육부 중앙교육연수원,교육부 중앙교육연수원_통합교육연수시스템 교육연수현황,"교육부 소속 공무원 및 17시 시?도 교육청 소속 지방공무원 및 교원의 교육연수 정보 제공<br/>공동활용기관,과정년도,과정운영구분,과정명,기수,교육시작일,교육종료일,승인인원,이수인원,이수율 항목을 제공",6593,교육 - 평생·직업교육,"교육과정,과정명,교육이수"
15063291,교육부,교육부 중앙교육연수원,교육부 중앙교육연수원_연도별 이수인원,"연도별(""17~""22.12.) 중앙교육연수원의 연수형태(집합, 혼합, 원격)별 이수인원 정보를 제공 합니다.",3346,교육 - 평생·직업교육,"시도연수원,연도별,이수인원"
15063292,교육부,교육부 중앙교육연수원,교육부 중앙교육연수원_교육 대상자별 이수인원,"중앙교육연수원의 교육 대상자별  데이터 (성별, 연령, 교육대상자) (""17.~""22.12월) 년도별 이수인원을 공개합니다.",2199,교육 - 평생·직업교육,"교육 대상자,이수인원,집합"
15063293,교육부,교육부 중앙교육연수원,교육부 중앙교육연수원_집합교육 방법별 운영현황,"중앙교육연수원의 집합교육 방법별(강의, 경험, 참여식) 이수인원 (""17~""22.12) 데이터를 제공 합니다.",2922,교육 - 평생·직업교육,"집합교육,경험식교육,참여식교육"
15063295,교육부,교육부 중앙교육연수원,교육부 중앙교육연수원_원격연수 분류체계별 과정운영 현황,"중앙교육연수원  분류체계(교수학습, 생활교육, 진로/상담, 교직실무, 자기계발, 정책이해)별 운영과정 현황을 공개합니다.",3021,교육 - 평생·직업교육,"원격연수,콘텐츠,운영과정 수"
3044325,교육청,경기도교육청,경기도교육청_경기도 학원 정보,"매분기 업데이트 되는 경기도교육청 관할 학원 정보이며, 해당 정보 관련하여 자세한 문의는 관할 교육지원청에서 담당하고 있음",7885,교육 - 평생·직업교육,"학원,학원명,교습과정"
15023653,교육청,경상남도교육청,경상남도교육청_경상남도 학원 및 교습소 현황,"경상남도교육청  관할 전체 학원 및 교습소 현황으로 학원명, 분야, 교습과정, 학원 주소, 설립자,기타경비를 포함한 교습비 등의 정보를 제공",4026,교육 - 평생·직업교육,"경상남도,학원,교습소"
15048352,교육청,경상북도교육청,경상북도교육청_학원 현황,"경상북도 내 학원에 대하여 학원명, 학원종류, 분야, 학원주소, 교습과목, 정원, 교습비 등의 항목을 제공합니다.",3806,교육 - 평생·직업교육,"학원,입시.검정 및 보습,예능"
15048353,교육청,경상북도교육청,경상북도교육청_교습소 현황,"경상북도 내 교습소에 대하여 교습소명, 교습자명, 교습소주소, 교습과목, 교습비, 정원, 기타경비 등의 항목을 제공합니다.",2973,교육 - 평생·직업교육,"교습소,입시.검정 및 보습,예능"
15053453,교육청,경상북도교육청 경상북도경주교육지원청,경상북도교육청 경상북도경주교육지원청_교습소 현황,"경상북도교육청 경상북도경주교육지원청 교습소 현황 정보 제공(교습소명, 전화번호, 주소 등)",2725,교육 - 평생·직업교육,"학원,교습소,경주교육지원청"
15053454,교육청,경상북도교육청 경상북도경주교육지원청,경상북도교육청 경상북도경주교육지원청_학원 현황,경상북도교육청 경상북도경주교육지원청 학원 현황,2706,교육 - 평생·직업교육,학원@교습소@경주교육지원청
15053452,교육청,경상북도교육청 경상북도경주교육지원청,"경상북도교육청 경상북도경주교육지원청_학원, 교습소 현황(2019.3.1.)","경주교육지원청_학원교습소 현황_명칭,전화번호,소재지등 정보제공",2564,교육 - 평생·직업교육,학원@교습소@경주교육지원청
3077714,교육청,경상북도교육청 경상북도교육청문화원,경상북도교육청 경상북도교육청문화원_도서목록 정보,경북학생문화회관 종합정보자료실에 소장 중인 도서 목록,2095,교육 - 평생·직업교육,"도서,책,보유"
15106613,교육청,경상북도교육청 경상북도교육청상주도서관,경상북도교육청 경상북도교육청상주도서관_하반기 평생교육강좌,경상북도교육청 상주도서관에서 제공하는 하반기 평생강좌정보로 누리집을 통해 공지 및 안내 드리며 누리집을 통해 신청하실 수 있습니다.,364,교육 - 평생·직업교육,"평생교육,강의,강좌"
15106730,교육청,경상북도교육청 경상북도교육청상주도서관,경상북도교육청 경상북도교육청상주도서관_평생교육강좌 정보_겨울방학특강,경상북도교육청 상주도서관에서 제공하는  평생강좌정보(겨울방학특강)로 누리집을 통해 공지 및 안내 드리며 누리집을 통해 신청하실 수 있습니다.,448,교육 - 평생·직업교육,"특강,겨울방학,방학특강"
