목록키,기관구분,기관명,목록유형,목록명,목록설명,조회수,분류체계,기관코드,국가중점여부,표준데이터여부,목록 등록일,목록 수정일,목록 URL,다운로드_활용건수,키워드
15123664,교육부,교육부,FILE,교육부_진로체험망_진로체험프로그램현황,"꿈꾸는 아이들의 길라잡이 [꿈길]은 학생들의 다양한 진로체험을지원하기 위해 교육부가 운영하는 대국민 서비스 플랫폼으로, 지역사회의 다양한진로체험처와 프로그램을 관리하고 학교의 진로체험 운영을 지원<br/>현장직업체험형 :	학생들이 관공서, 회사, 병원, 가게, 시장과 같은 현장 직업 일터에서 직업 관련 업무를 직접 수행하고 체험하는 활동<br/>직업실무체험형  :	학생들이 직업체험을 할 수 있는 모의 일터에서 현장직업인과 인터뷰 및 관련 업무를 직접 수행하고 체험하는 활동(현장직업인 멘토 필요)<br/>현장견학형	: 일터(작업장), 직업관련 홍보관, 기업체 등을 방문하여 생산공정, 산업 분야의 흐름과 전망 등을 개괄적으로 견학하는 활동<br/>학과체험형	: 특성화고, 대학교(원)를 방문하여 실습, 견학, 강의 등을 통해 특정 학과와 관련된 직업 분야의 기초적인 지식이나 기술을 학습하는 활동<br/>진로캠프형	: 특정 장소에서 진로심리검사·직업체험·상담·멘토링·특강 등 종합적인 진로교육 프로그램을 경험하는 활동(1일 6시간 이상 운영)<br/>강연형·대화형	: 기업 CEO, 전문가 등 여러 분야의 직업인들의 강연, 진로특강을 통해 다양한 직업세계를 탐색하는 활동(대화형은 40명 내외 학생 기준)",301,교육 - 평생·직업교육,1342000,N,N,2023-09-21,2023-09-22,https://www.data.go.kr/data/15123664/fileData.do,49,"체험저,꿈길,현장체험형"
15118802,교육부,교육부,FILE,교육부_사회정책 대표누리집_정책자료,"글로벌 강국으로 도약하는 미래, 공동가치를 위한 함께하는 연대, 모든 국민의 안전한 일상을 만들기 위한  지원전략 수립",189,교육 - 교육일반,1342000,N,N,2023-08-16,2023-09-22,https://www.data.go.kr/data/15118802/fileData.do,19,"도약하는미래,함께하는연대,안전한일상"
15123665,교육부,교육부,FILE,교육부_진로체험망_진로체험지원센터 정보,"진로체험지원센터는 지역사회내 체험처 발굴·관리 및 프로그램을 컨설팅하고, 학교에서 체험을 원활히 할 수 있도록 지원하며, 교육기부 진로체험기관 인증제 심사, 진로체험지원 자원봉사자 인력 모집 · 활용, 자체 진로체험 프로그램 운영 등을 하는 기관 안내",310,교육 - 평생·직업교육,1342000,N,N,2023-09-21,2023-09-21,https://www.data.go.kr/data/15123665/fileData.do,30,"지역별센터,협력센터,꿈길"
15122460,교육부,교육부,FILE,교육부_대학원 계약학과 설치 운영 현황_학교별,교육부(한국대학교육협의회)가 대학알리미에서 대학정보공시를 서비스 하고 정보공시 항목 중 12. 교원의 연구·학생에 대한 교육 및 산학협력 현황 - 카. 현장중심 실무형 교육과정 개설 현황  - 계약학과 설치 운영 현황을 제공합니다.<br/>,272,교육 - 고등교육,1342000,N,N,2023-09-08,2023-09-08,https://www.data.go.kr/data/15122460/fileData.do,252,"대학알리미,대학정보공시,대학교종류"
15122396,교육부,교육부,API,교육부_나이스(NEIS) 교육정보 개방 포털_특수학교 시간표,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다. 교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공. 특수학교 학년도, 학교, 학기, 학년, 과정, 강의실, 교시별 시간표 수업내용",433,교육 - 교육일반,1342000,N,N,2023-09-07,2023-09-07,https://www.data.go.kr/data/15122396/openapi.do,64,"교육정보개방,어플리케이션,개발"
15122331,교육부,교육부,API,교육부_나이스(NEIS) 교육정보 개방 포털_초등학교 시간표,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다. 교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공. 초등학교 학년도, 학교, 학기, 학년, 학급, 교시별 시간표 수업내용을 제공",694,교육 - 유아및초·중등교육,1342000,N,N,2023-09-06,2023-09-06,https://www.data.go.kr/data/15122331/openapi.do,326,"교육정보개방,어플리케이션,개발"
15122332,교육부,교육부,API,교육부_나이스(NEIS) 교육정보 개방 포털_중학교 시간표,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다. 교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공, 중학교 학년도, 학교, 학기, 학년, 학급, 교시별 시간표 수업내용 제공",450,교육 - 유아및초·중등교육,1342000,N,N,2023-09-06,2023-09-06,https://www.data.go.kr/data/15122332/openapi.do,78,"교육정보개방,어플리케이션,개발"
15122333,교육부,교육부,API,교육부_나이스(NEIS) 교육정보 개방 포털_고등학교 시간표,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다. 교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공. 고등학교 학년도, 학교, 계열, 학과, 학기, 학년, 강의실, 교시별 시간표 수업내용 제공",562,교육 - 유아및초·중등교육,1342000,N,N,2023-09-06,2023-09-06,https://www.data.go.kr/data/15122333/openapi.do,141,"교육정보개방,어플리케이션,개발"
15122275,교육부,교육부,API,교육부_나이스(NEIS) 교육정보 개방 포털_초중등_학교기본정보,"시도교육청이 나이스 교육정보를 제공하고 교육부(한국교육학술정보원)가 개방 교육정보를 서비스 합니다.
교육정보를 활용할 아이디어가 있으면 인증키 발급 후 활용 가이드에 따라 웹 또는 모바일 어플리케이션 개발 할 수 있도록 서비스 제공
학교 기본정보에 대한 학교명, 소재지, 주소, 전화번호, 홈페이지주소, 남녀공학여부, 주야구분, 개교기념일 등을 제공",671,교육 - 유아및초·중등교육,1342000,N,N,2023-09-05,2023-09-05,https://www.data.go.kr/data/15122275/openapi.do,486,"교육정보개방,어플리케이션,개발"
15122224,교육부,교육부,FILE,교육부_대학의 장에 의한 학위수여 교육훈련기관 목록,"(학점은행제) 2021년~2023년 대학의 장 명의 학위수여 교육훈련기관 목록<br/>기관명, 교육원 유형 데이터를 제공<br/>",119,교육 - 평생·직업교육,1342000,N,N,2023-09-04,2023-09-04,https://www.data.go.kr/data/15122224/fileData.do,25,"평생교육원,대학교,대학부설"
