목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15052877,교육부,교육부,교육부_지방교육재정정보 데이터셋,"각 시도교육청별 결산통합공시, 예산통합공시, 교육청 예결산서, 교육청 공시보고서, 학교정보 등 지방교육재정 관련 데이터셋을 확인할 수 있습니다.",2595,일반공공행정 - 지방행정·재정지원,"예산공시,결산공시,예결산서"
15052879,교육부,교육부,교육부_지방교육재정정보 일일수입지출현황 당해년도,시도교육청의 수입현황 및 예산액 대비 수납률을 당해년도 기준으로 제공<br/>일일수이지출현황 데이터를 조회할수 있고 데이터를 다운로드 받을수 있음.<br/>시도교육청의 수입 현황 및 예산액 대비 수입률을 전일기준으로 공개.,1867,일반공공행정 - 지방행정·재정지원,"교육예산공시,교육결산공시,교육예·결산서"
15052878,교육부,교육부,교육부_대안교육운영 재정지원,"시도별 대안교육운영 재정지원 내역.<br/>지방교육재정알리미 (https://eduinfo.go.kr/portal/main.do) 사이트 접속 -> [지방교육재정] 메뉴 선택 -> [결산공시] 선택 -> 년도 선택 -> <대안교육운영지원> 입력 후 검색 -> 검색된 트리메뉴에서 <대안교육운영지원> text선택 -> 시,도교육청별 선택,  SHEET선택 , 년도 선택 -> 검색 -> 다운로드 버튼 클릭 -> 원하는 확장자 선택 후 다운로드 버튼 클릭.",2134,일반공공행정 - 지방행정·재정지원,"교육청 예산공시,지방교육재정알리미,교육청 예·결산서"
