목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
3036292,교육청,광주광역시교육청,광주광역시교육청_진로진학정보센터,"고입/대입정보, 수능/학력평가정보, 진로정보",3687,사회복지 - 고용노동,진로@진학@수능
15088749,유관기관,한국연구재단,한국연구재단_전문연구정보(NRIC) 조회 오픈 API 서비스,상세 기능 목록(데이터 종류)별로 제공되는 입력 파라미터를 이용하여 전문연구정보(NRIC) 데이터의 목록 정보를 조회할 수 있는 서비스,1092,사회복지 - 고용노동,"채용정보 ,전문연구정보,NRIC 조회"
