목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15113993,소속단체,한국장학재단,한국장학재단_푸른등대 기부 뉴스레터 발송 내역,"푸른등대 기부장학사업은 학자금 지원의 사각지대를 보완하여 균등한 교육 기회를 제공하고, 사회 각 분야의 인재를 육성하기 위한 기부금 재원 장학 사업입니다. 한국장학재단에서는 매년 사업 홍보를 위한 기부 뉴스레터를 제작·발행하고 있으며, 제작한 뉴스레터를 장학생, 기부처 등에 발송하고 있습니다. 해당 데이터는 뉴스레터의 발송 일자, 발송 횟수 등 발송 내역입니다.",338,일반공공행정 - 일반행정,"뉴스레터,이메일,발송"
15117362,소속단체,한국장학재단,한국장학재단_웹진 뉴스레터 발송 현황,"한국장학재단 웹진은 대학생, 청년들에게 유용한 정보를 격월로 제공하는 전자사보로 웹진의 홍보를 위해 뉴스레터를 제작·발행하여 재단 고객 등에 발송하고 있습니다. 해당 데이터는 뉴스레터의 제목, 발송 일자, 발송 건수 데이터 입니다.",98,일반공공행정 - 일반행정,"웹진,뉴스레터,발송"
15117221,소속단체,한국장학재단,한국장학재단_홍보대상  분류현황,"한국장학재단의 효율적인 홍보대상 통지관리를 위하여 홍보 주체에 따른 언론사, 매체사, 특정사업을 그룹별로 분류하고 있는 데이터 입니다.",114,일반공공행정 - 일반행정,"재단,홍보,홍보대상"
15092173,소속단체,한국장학재단,한국장학재단_정부 경영평가 결과,매년 기획재정부에서 공공기관을 대상으로 실시하는 정부경영평가에 대한 한국장학재단의 전년도 상세결과를 공개함<br/>(전년도 경영평가를 금년도에 실시 ·공표함에 따라 데이터 기준일은 공표연도 기준으로 작성),1578,일반공공행정 - 일반행정,"경영실적평가,지표별 등급,경평"
15123029,소속단체,한국학중앙연구원,한국학중앙연구원_한국학자료포털 인기검색어,"한국학자료포털 시스템에 대한 정보로 포털 이용자들의 검색한 검색어에 대한 갯수를 통해 연도별 인기검색어를 제공합니다. 연도, 인기검색어, 데이터기준일 항목으로 구성되어있습니다.",62,일반공공행정 - 일반행정,"인기검색어,한국학,자료포털"
15118478,유관기관,한국연구재단,한국연구재단_학술단체 정보,"한국연구재단이 보유하고 있는 ""온라인논문투고심사시스템"" 정보입니다. ;학술단체 테이블'에는 기관명, 대분류, 중분류, 주소, 사이트주소 등의 정보가 있습니다",124,일반공공행정 - 일반행정,"논문,투고심사,학술단체"
15119779,유관기관,한국연구재단,한국연구재단_공시정보 오류 신고내역,"한국연구재단이 보유하고 있는 외국교육기관 및 외국인학교 종합안내 시스템의 ""공시정보 오류 신고내역"" 테이블 정보입니다. 23년도까지 등록된 공시정보 오류 신고내역입니다.  학교유형, 정보공시코드, 내용, 등록일자 정보등이 있습니다",126,일반공공행정 - 일반행정,"공시,오류,신고"
15118475,유관기관,한국연구재단,한국연구재단_학술지 종수 정보,"한국연구재단이 보유하고 있는 ""온라인논문투고심사시스템(JAMS) 학술지 정보 "" 테이블 정보입니다.  기관구분, 기관명, 학술지명, 학술지 약어, 학회별 논문수 등의 정보가 있습니다",188,일반공공행정 - 일반행정,"논문,투고심사,학술지 정보"
15117898,유관기관,한국연구재단,한국연구재단_외국교육기관 방문 및 교환 및 졸업생현황,"한국연구재단이 보유하고 있는 ""외국교육기관 및 외국인학교 종합안내"" 시스템 내  ""외국교육기관(고등), 방문, 교환, 졸업생현황"" 정보입니다. 학부코드, 정보공시 ID, 학교 ID, 기준년도, 분기, 학과명 등의 정보가 있습니다 <br/>",117,일반공공행정 - 일반행정,"외국교육,교환,졸업생"
15117899,유관기관,한국연구재단,한국연구재단_주소관리,"한국연구재단이 보유하고 있는 ""외국교육기관 및 외국인학교 종합안내"" 시스템 내  ""주소관리""테이블 정보입니다.  도로명코드, 건물본번호, 건물부번호, 기초구역번호, 고시일자 정보가 있습니다.",151,일반공공행정 - 일반행정,"주소,관리,외국학교"
15117901,유관기관,한국연구재단,한국연구재단_코드관리,"한국연구재단이 보유하고 있는  ""외국교육기관 및 외국인학교 종합안내"" 시스템의  ""코드관리"" 테이블 정보입니다.  코드, 코드분류, 코드명, 코드분류명 등 정보가 있습니다",125,일반공공행정 - 일반행정,"교육,학교,코드"
