목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15118808,교육부,교육부,교육부_사회정책 대표누리집_추진계획,"글로벌 강국으로 도약하는 미래, 공동가치를 위한 함께하는 연대, 모든 국민의 안전한 일상을 만들기 위한  지원전략에 대해 년도별 핵심 사회정책 추진계획 수립",77,사회복지 - 사회복지일반,"의제관리,국민참여,협력체계"
15118809,교육부,교육부,교육부_사회정책 대표누리집_회차별 안건내용,"글로벌 강국으로 도약하는 미래, 공동가치를 위한 함께하는 연대, 모든 국민의 안전한 일상을 만들기 위한  사회관계장관회의 회차별 안건내용",91,사회복지 - 사회복지일반,"사회현안,정책사각지대,협력체계"
15084567,소속단체,한국장학재단,한국장학재단_사회공헌 기부현황,공공기관으로서 사회적 책임을 수행하기 위한 사회공헌의 일환으로 한국장학재단에서 타기관 및 지역사회에 기부한 내역으로 기부처별 기부금액 및 기부사유 등을 보여줌,1311,사회복지 - 사회복지일반,"사회적가치,사회공헌,기부금"
