목록키,기관구분,기관명,목록명,목록설명,조회수,분류체계,키워드
15036875,유관기관,한국연구재단,한국연구재단_연구결과보고서 정보,"ICT분야와 관련하여 진행된 연구조사의 결과물에 대한 메타정보(제목, 출처, 발행일, 요약정보 등)를 제공한다.",3245,통신 - 방송통신,"인문사회과학,인간과학과 기술,과학기술과 인문사회"
15036877,유관기관,한국연구재단,한국연구재단_분석리포트 정보,"IT분야의 ICT정책, 유무선통신, IT융합, 특허 등 분석보고서 메타정보(제목, 출처, 발행일, 요약정보 등)를 제공한다.",2989,통신 - 방송통신,"인문사회과학,인간과학과 기술,과학기술과 인문사회"
15036874,유관기관,한국연구재단,한국연구재단 _ICT 정기간행물 정보,"ICT분야에 대하 정기간행물 자료를 정리하여 제공하는 서비스로 기술동향, 산업동향, Spot Issue, 정책동향 및 ICT 관련정보, 트랜드, 백서등의 목록 및 메타정보(제목, 출처, 발행일, 요약정보 등)를 제공한다.",3389,통신 - 방송통신,기술동향@산업동향@ICT 관련정보
15036878,유관기관,한국연구재단,한국연구재단_ICT동향정보,"ICT분야 유관기관 발행 최신 자료를 수집, 주간단위로 제공하여 최근 유관기관 스크랩 정보에 대한 메타정보(제목, 출처, 발행일, 요약정보 등)를 제공한다.",3277,통신 - 방송통신,유관기관@ICT 분야@최신 ICT 정보
15036876,유관기관,한국연구재단,한국연구재단_ ICT통계간행물 정보,ICT분야 관련 각종 지표 및 핵심통계를 체계적으로 조사 정리한 간행물 자료를 제공하는 서비스로 통계간행물에 대한 간략정보 및 상세정보를 제공한다.,2983,통신 - 방송통신,통계간행물@ICT 각종 지표@ICT 핵심통계
